Black Heritage Trail,North End,Culture,4,0,4
Boston Harbor Islands National Recreation Area,Waterfront,Culture,1,4,4
Boston National Historical Park,Waterfront,Culture,4,4,4
Castle Island,Waterfront,Culture,1,4,2
Custom House Tower,Waterfront,Culture,1,4,2
Freedom Trail,North End,Culture,1,4,2
Boston Common,Back Bay,Culture,1,4,2
Boston Public Garden,Back Bay,Culture,1,4,2
Frog Pond,Back Bay,Culture,1,4,2
Bunker Hill Monument,North End,Culture,1,4,2
Faneuil Hall,North End,Culture,1,4,2
Granary Burying Ground,North End,Culture,1,4,2
Massachusetts State House,Beacon Hill,Culture,1,4,2
Old North Church,North End,Culture,1,4,2
Old State House,Waterfront,Culture,1,4,2
Paul Revere House,Waterfront,Culture,1,4,2
USS Constitution,Waterfront,Culture,1,4,2
Old City Hall,Waterfront,Culture,1,4,2
Boston Athenaeum,Waterfront,Museum,1,1,4
Boston Children's Museum,Seaport,Museum,1,1,4
Boston Tea Party Museum,Seaport,Museum,1,1,4
Franklin Park Zoo,South End,Museum,1,1,4
Harrison Gray Otis House,South End,Museum,1,1,4
Institute of Contemporary Art,Waterfront,Museum,1,1,4
Isabella Stewart Gardner Museum,Kenmore,Museum,1,1,4
John F. Kennedy Library,Cambridge,Museum,1,1,4
Mapparium,Cambridge,Museum,1,1,4
Museum of Fine Arts,Kenmore,Museum,1,1,4
Museum of Science,Cambridge,Museum,1,1,4
New England Aquarium,Waterfront,Museum,1,1,4
Nichols House Museum,Kenmore,Museum,1,1,4
Charles River Esplanade,Back Bay,Outdoor,3,1,1
Arnold Arboretum,Kenmore,Outdoor,3,1,1
Boston Common,Beacon Hill,Outdoor,3,1,1
Boston Public Garden,Beacon Hill,Outdoor,3,1,1
Charles River and Esplanade,Back Bay,Outdoor,3,1,1
Copley Square,Back Bay,Outdoor,3,1,1
Kenmore Square,Kenmore,Outdoor,3,1,1
Garden of Peace,Cambridge,Outdoor,3,1,1
Rose Kennedy Greenway,Cambridge,Outdoor,3,1,1
Boston Opera House,Back Bay,Theater,4,1,1
Citi Performing Arts Center,Chinatown,Theater,4,1,1
Cutler Majestic Theatre,Chinatown,Theater,4,1,1
Jordan Hall at the New England Conservatory of Music,Kenmore,Theater,4,1,1
Symphony Hall,Kenmore,Theater,4,1,1
Cathedral Church of St. Paul,Back Bay,Culture,1,4,1
Cathedral of the Holy Cross,Back Bay,Culture,1,4,1
Old South Church,Back Bay,Culture,1,4,1
"The First Church of Christ, Scientist",Back Bay,Culture,1,4,1
Trinity Church,Back Bay,Culture,1,4,1
Bull & Finch Pub,Beacon Hill,Culture,1,4,1
Union Oyster House ,North End,Culture,1,4,1
Copley Place,Back Bay,Outdoor,3,1,1
Downtown Crossing,Chinatown,Outdoor,3,1,1
Newbury Street,Back Bay,Outdoor,3,1,1
Prudential Center,Back Bay,Outdoor,3,1,1
Quincy Market,North End,Outdoor,3,1,1
Fenway Park,Kenmore,Sports,4,1,1
Agganis Arena,Brookline,Sports,4,1,1
Harvard Stadium,Cambridge,Sports,4,1,1
Suffolk Downs,East Boston,Sports,4,1,1
Nickerson Field,Cambridge,Sports,4,1,1
TD Garden,North End,Sports,4,1,1
