Name,Address,Price,Overall Rating,Subcategory rating 
Elliot,Kenmore,4,4,5
Copley,Kenmore,4,3,1
Liberty,Kenmore,3,4,3
Courtyard Boston Downtown Tremont,Cambridge,2,2,1
Courtyard Boston Norwood,Back Bay,2,3,2
Courtyard By Marriott Boston Marlborough Hotel,Back Bay,1,1,1
Days Hotel Boston Harvard Fenway,Financial District,1,2,3
DoubleTree Suites By Hilton Hotel Boston,Cambridge,4,4,2
Embassy Suites Boston / Waltham Hotel,Back Bay,1,2,2
Extended Stay America Boston Braintree,South End,4,4,5
Fairmont Copley Plaza Boston,Allston,5,5,4
Four Points By Sheraton Norwood,Allston,2,2,1
Hampton Inn Boston Billerica,Back Bay,2,3,2
Hampton Inn Boston Marlborough,Cambridge,4,4,5
Hampton Inn Boston-Norwood,North End,4,3,1
Hilton Boston Dedham,Brighton,3,4,3
Hilton Garden Inn Boston Burlington,North End,2,2,1
Holiday Inn Boston At Beacon Hill,Back Bay,2,3,2
Holiday Inn Brookline,Allston,1,1,1
Holiday Inn Express Hotel Boston,South End,1,2,3
Holiday Inn Hotel & Suites Marlborough,Kenmore,4,4,2
Homestead Boston Peabody,Back Bay,1,2,2
Homewood Suites By Hilton Cambridge - Arlington Hotel,Financial District,4,4,5
Hotel Commonwealth Boston,Cambridge,5,5,4
Hyatt House Boston / Burlington Hotel,Allston,2,2,1
Hyatt Regency Boston,South End,2,3,2
La Quinta Inn & Suites Boston Somerville,Back Bay,4,4,5
Marriott Copley Place Boston,Brighton ,4,3,1
Midtown Hotel Boston,Kenmore,3,4,3
Nine Zero Hotel Boston,Cambridge,2,2,1
Ramada Inn Boston,Back Bay,2,3,2
Residence Inn Boston Dedham,Back Bay,1,1,1
Residence Inn By Marriott Boston Norwood,Financial District,1,2,3
Samuel Sewall Inn Brookline,Cambridge,4,4,2
Sheraton Hotel Boston,Back Bay,1,2,2
Super 8 Motel Watertown Cambridge Boston Area,South End,4,4,5
The Back Bay Hotel Boston,Allston,5,5,4
The Charles Hotel Boston,Allston,2,2,1
The Inn At St Botolph Boston,Back Bay,2,3,2
The Ritz Carlton Boston Common Hotel,Cambridge,4,4,5
The Westin Copley Place Boston,North End,4,3,1
Wyndham Boston Chelsea Hotel,Brighton,3,4,3
Ames Hotel A Morgans Original Boston,North End,2,2,1
Best Western Adams Inn Quincy,Back Bay,2,3,2
BEST WESTERN PLUS Boston - The Inn At Longwood Medical,Allston,1,1,1
Best Western Royal Plaza Hotel & Trade Centre,South End,1,2,3
Boston Common Hotel & Conference Center,Kenmore,4,4,2
Boston Marriott Cambridge,Back Bay,1,2,2
Boston Omni Parker House Hotel,Financial District,4,4,5
Bulfinch Hotel Boston,Cambridge,5,5,4
Chandler Inn Boston,Allston,2,2,1
Colonnade Hotel Boston,South End,2,3,2
Comfort Inn Marlborough,Back Bay,4,4,5
Concord's Colonial Inn,Brighton ,4,3,1
Courtyard Boston Brookline,Kenmore,3,4,3
Courtyard Boston Logan Airport Hotel,Cambridge,2,2,1
Courtyard Boston Stoughton,Back Bay,2,3,2
Courtyard By Marriott Boston South Boston,Back Bay,1,1,1
DoubleTree By Hilton Hotel Boston - Downtown,Financial District,1,2,3
Econo Lodge Framingham,Cambridge,4,4,2
Embassy Suites Boston At Logan Airport,Back Bay,1,2,2
Fairfield Inn Boston Dedham,South End,4,4,5
Fifteen Beacon Hotel Boston,Allston,5,5,4
Four Seasons Hotel Boston,Allston,2,2,1
Hampton Inn Boston Braintree,Back Bay,2,3,2
Hampton Inn Boston Natick,Cambridge,4,4,5
Hampton Inn Logan Boston,North End,4,3,1
Hilton Boston Downtown Financial District Hotel,Brighton,3,4,3
Hilton Garden Inn Boston Waltham,North End,2,2,1
Holiday Inn Boston Dedham Hotel & Conference Center,Back Bay,2,3,2
Holiday Inn Express Braintree,Allston,1,1,1
Holiday Inn Express Saugus / Logan Airport,South End,1,2,3
Homestead Boston Burlington,Kenmore,4,4,2
Homewood Suites By Hilton Boston Billerica Bedford,Back Bay,1,2,2
"Homewood Suites By Hilton Hotel Boston / Canton, MA",Financial District,4,4,5
Howard Johnson Inn Boston,Cambridge,5,5,4
Hyatt Place Boston / Braintree Hotel,Allston,2,2,1
InterContinental Boston Hotel,South End,2,3,2
Lenox Hotel Boston,Back Bay,4,4,5
Marriott Long Wharf,Brighton ,4,3,1
Millennium Bostonian Hotel Boston,Kenmore,3,4,3
Onyx Hotel Boston,Cambridge,2,2,1
Red Roof Inn Boston Logan,Back Bay,4,3,2
Residence Inn Boston Harbor On Tudor Wharf,Back Bay,5,1,1
Rodeway Inn Revere,Financial District,2,2,3
Seaport Boston Hotel,Cambridge,2,4,2
SpringHill Suites Boston Peabody,Back Bay,4,2,2
Super 8 Motel Weymouth Boston Area,South End,4,4,5
The Bertram Inn Brookline,Allston,3,5,4
The Constitution Inn Boston,Allston,2,2,1
The Langham Boston,Back Bay,2,3,2
The Wayside Carriage House Inn Boston,Cambridge,1,3,4
Taj Boston Hotel,North End,4,3,1
The Boston Park Plaza Hotel & Towers,Brighton,3,4,3
The Eliot Hotel Boston,North End,2,2,1
The Liberty Hotel Boston,Back Bay,2,3,2
The Westin Boston Waterfront,Allston,1,1,1
W Boston Hotel,South End,1,2,3
Hampton Inn,Kenmore,4,4,2
Crowne Plaza,Back Bay,1,2,2
